timestamp;query;course;misalignment
none;Qu'est-ce qu'une architecture 2-tiers?;lecture_software_architecture,lecture_technical_architecture;non
none;Dans le cours, on parle de service et de micro-service. Quelle différence entre les deux et comment savoir s'il faut développer un service ou un micro-service?;lecture_software_architecture;non
none;Qu'est-ce qu'un patron de conception ?;lecture_software_architecture;non
none;Qu'est-ce que le patron MVC?;lecture_software_architecture;non
none;Donne moi le nom de quelques patrons de conception;lecture_software_architecture;non
none;Explique moi avec des exemples ce que c'est la sérialisation/désérialisation;lecture_dto;non
none;Donne moi le nom de quelques langages communément utilisés pour sérialiser/désérialiser des objets;lecture_dto;non
none;Que veut dire l'acronyme DTO?;lecture_dto;non
none;Quelles sont les trois couches fonctionnelles qui structurent le code d'une application Web Spring?;lecture_mvc_spring;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;lecture_mvc_spring;non
none;Quelle est la différence entre @Controller et @RestController?;lecture_mvc_spring;non
none;A quoi sert l'annotation @RequestMapping dans un contrôleur Spring?;lecture_mvc_spring,practice_spring,practice_spring_2tiers;non
none;Dans quelle couche fonctionnelle d'une application Spring est utilisé le modèle MVC?;lecture_mvc_spring;non
none;Dis moi comment associer une méthode d'un contrôleur Spring avec une URL d'une page Web;lecture_mvc_spring,practice_spring,practice_spring_2tiers;non
none;Pourquoi les contrôleurs Spring n'utilisent pas directement  les méthodes des DAO ?;lecture_mvc_spring,practice_spring_2tiers;non
none;Rappele moi le nom de l'application qui permet d'accéder au contenu d'une base de données PostGreSQL;practice_spring_2tiers;non
none;Quelle est l'utilité des templates Thymeleaf ?;practice_spring,practice_spring,lecture_mvc_spring,practice_spring_2tiers;non
none;Pourquoi l'annotation @Transactional est nécessaire pour certaines méthodes?;practice_spring_2tiers;non
none;Quel est le fichier qui contient les informations de connexion à la base de données en JPA/Spring?;lecture_jpa;non
none;Quelle annotation JPA permet de modifier le nom de la colonne qui mappe un attribut d'une entité?;lecture_jpa;non
none;Que veut dire qu'une instance d'une entité est détachée de l'entity manager?;lecture_jpa;non
none;Quel est le rôle d'un ORM dans une application ?;lecture_jpa;non
none;Quelle est la méthode JPA qui permet d'instancier une entité et initialiser ses attributs avec des valeurs de la base de données ?;lecture_jpa;non
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa;non
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa;non
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa;non
none;Quelles annotations permettent de définir des associations entre classes ?;practice_jpa;non
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété java doit être persistée ?;practice_jpa;non
none;Quel est la classe Java qui gère la persistance des objets Java ?;practice_jpa_advanced;non
none;Comment indiquer une récupération différée des objets liés à une classe ?;practice_jpa_advanced;non
none;Quels sont les différents états d'un objet géré par l'entity manager ?;practice_jpa_advanced;non
none;Quelle est la différence entre merge et persist ?;practice_jpa_advanced;non
none;Quel est le lien entre contexte transactionnel et EntityManager ?;practice_jpa_advanced;non
none;Quelle est la différence entre @Controller et @RestController ?;practice_spring_2tiers_ext;non
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_spring_2tiers_ext;non
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_spring_2tiers_ext;non
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_spring_2tiers_ext;non
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_spring_2tiers_ext;non
2026-02-16 13:14:24;comment identifier les dépendances fonctionnelles élémentaires et directes;lecture_normalization,activity_normalization;non
2026-02-16 13:15:03;donne moi les dépendances fonctionnelles pour la relation universelle suivante : {idCompetition, nomCompetition, debut, fin, idEpreuve, nomEpreuve, categorie, ville, idAthlete, nomAthlete, nationalite, perf, class;lecture_normalization,activity_normalization;non
2026-02-16 13:20:29;comment puis je identifier une clé primaire d'une table ?;lecture_normalization,activity_normalization;non
2026-02-16 13:24:30;Qu'est ce qu'un schéma logique ?;lecture_conceptual_modeling,activity_conceptual_modeling;non
2026-02-16 13:08:27;Qu'est ce qu'une dependance fonctionelle;lecture_normalization,activity_normalization;non
2026-02-16 13:22:32;regle de derivation d'un schéma conceptuel;lecture_conceptual_modeling,activity_conceptual_modeling,activity_conceptual_modeling_advanced;non
2026-02-16 13:47:35;Dans mon projet, j'ai deux entité: player et team, une equipe contient plusieurs joueurs, quelle annotation je dois utiliser pour lié les deux classes java dans mon repertoire entity ?;lecture_jpa,practice_jpa;non
2026-02-16 14:49:28;Comment choisir la clé primaire d'une relation universelle ?;lecture_normalization,activity_normalization;non
2026-02-16 14:50:38;comment faire un insert simple en sql;activity_sql,practice_sql;non
2026-02-16 13:19:36;Qu'est-ce que la règle de dérivation d'un schéma conceptuel;lecture_conceptual_modeling,activity_conceptual_modeling,activity_conceptual_modeling_advanced;non
2026-02-16 14:49:28;Comment choisir la clé primaire d'une relation universelle ?;lecture_normalization,activity_normalization;non
2026-02-16 15:29:46;comment choisir les cles candidats dans une base des donnees;lecture_normalization,activity_normalization,activity_relational_model;non
2026-02-16 14:27:52;comment supprimer une entrée d'une table;activity_sql,practice_sql,practice_advanced_sql;non
